country,latitude,longitude,year,t2m_celsius,source
Albania,41.0,20.0,201809,21.81,NASA POWER
Albania,41.0,20.0,201810,17.59,NASA POWER
Albania,41.0,20.0,201811,12.06,NASA POWER
Albania,41.0,20.0,201812,5.63,NASA POWER
Albania,41.0,20.0,201813,15.41,NASA POWER
Albania,41.0,20.0,201901,2.31,NASA POWER
Albania,41.0,20.0,201902,5.64,NASA POWER
Albania,41.0,20.0,201903,10.14,NASA POWER
Albania,41.0,20.0,201904,13.02,NASA POWER
Albania,41.0,20.0,201905,14.74,NASA POWER
Albania,41.0,20.0,201906,23.9,NASA POWER
Albania,41.0,20.0,201907,26.13,NASA POWER
Albania,41.0,20.0,201908,28.0,NASA POWER
Albania,41.0,20.0,201909,21.96,NASA POWER
Albania,41.0,20.0,201910,18.11,NASA POWER
Albania,41.0,20.0,201911,12.72,NASA POWER
Albania,41.0,20.0,201912,7.06,NASA POWER
Albania,41.0,20.0,201913,15.36,NASA POWER
Albania,41.0,20.0,202001,4.53,NASA POWER
Albania,41.0,20.0,202002,6.91,NASA POWER
Albania,41.0,20.0,202003,9.2,NASA POWER
Albania,41.0,20.0,202004,11.97,NASA POWER
Albania,41.0,20.0,202005,17.57,NASA POWER
Albania,41.0,20.0,202006,20.57,NASA POWER
Albania,41.0,20.0,202007,26.0,NASA POWER
Albania,41.0,20.0,202008,26.45,NASA POWER
Albania,41.0,20.0,202009,23.04,NASA POWER
Albania,41.0,20.0,202010,15.35,NASA POWER
Albania,41.0,20.0,202011,10.79,NASA POWER
Albania,41.0,20.0,202012,8.88,NASA POWER
Albania,41.0,20.0,202013,15.13,NASA POWER
Albania,41.0,20.0,202101,5.73,NASA POWER
Albania,41.0,20.0,202102,7.16,NASA POWER
Albania,41.0,20.0,202103,7.47,NASA POWER
Albania,41.0,20.0,202104,10.8,NASA POWER
Albania,41.0,20.0,202105,17.2,NASA POWER
Albania,41.0,20.0,202106,23.37,NASA POWER
Albania,41.0,20.0,202107,27.84,NASA POWER
Albania,41.0,20.0,202108,27.61,NASA POWER
Albania,41.0,20.0,202109,21.5,NASA POWER
Albania,41.0,20.0,202110,14.01,NASA POWER
Albania,41.0,20.0,202111,12.31,NASA POWER
Albania,41.0,20.0,202112,5.46,NASA POWER
Albania,41.0,20.0,202113,15.08,NASA POWER
Albania,41.0,20.0,202201,3.89,NASA POWER
Albania,41.0,20.0,202202,6.4,NASA POWER
Albania,41.0,20.0,202203,6.15,NASA POWER
Albania,41.0,20.0,202204,12.3,NASA POWER
Albania,41.0,20.0,202205,19.58,NASA POWER
Albania,41.0,20.0,202206,25.16,NASA POWER
Albania,41.0,20.0,202207,28.11,NASA POWER
Albania,41.0,20.0,202208,26.34,NASA POWER
Albania,41.0,20.0,202209,21.0,NASA POWER
Albania,41.0,20.0,202210,16.95,NASA POWER
Albania,41.0,20.0,202211,12.17,NASA POWER
Albania,41.0,20.0,202212,9.93,NASA POWER
Albania,41.0,20.0,202213,15.72,NASA POWER
Albania,41.0,20.0,202301,6.77,NASA POWER
Albania,41.0,20.0,202302,5.64,NASA POWER
Albania,41.0,20.0,202303,9.53,NASA POWER
Albania,41.0,20.0,202304,11.2,NASA POWER
Albania,41.0,20.0,202305,17.22,NASA POWER
Albania,41.0,20.0,202306,21.96,NASA POWER
Albania,41.0,20.0,202307,28.23,NASA POWER
Albania,41.0,20.0,202308,26.69,NASA POWER
Albania,41.0,20.0,202309,23.77,NASA POWER
Albania,41.0,20.0,202310,18.82,NASA POWER
Albania,41.0,20.0,202311,11.61,NASA POWER
Albania,41.0,20.0,202312,7.79,NASA POWER
Albania,41.0,20.0,202313,15.84,NASA POWER
Albania,41.0,20.0,202401,5.82,NASA POWER
Albania,41.0,20.0,202402,8.71,NASA POWER
Albania,41.0,20.0,202403,10.48,NASA POWER
Albania,41.0,20.0,202404,14.92,NASA POWER
Albania,41.0,20.0,202405,18.16,NASA POWER
Albania,41.0,20.0,202406,25.83,NASA POWER
Albania,41.0,20.0,202407,29.55,NASA POWER
Albania,41.0,20.0,202408,28.63,NASA POWER
Albania,41.0,20.0,202409,21.28,NASA POWER
Albania,41.0,20.0,202410,16.94,NASA POWER
Albania,41.0,20.0,202411,10.55,NASA POWER
Albania,41.0,20.0,202412,6.84,NASA POWER
Albania,41.0,20.0,202413,16.5,NASA POWER
Algeria,28.0,3.0,201501,10.73,NASA POWER
Algeria,28.0,3.0,201502,13.4,NASA POWER
Algeria,28.0,3.0,201503,16.2,NASA POWER
Algeria,28.0,3.0,201504,25.66,NASA POWER
Algeria,28.0,3.0,201505,29.42,NASA POWER
Algeria,28.0,3.0,201506,32.88,NASA POWER
Algeria,28.0,3.0,201507,34.15,NASA POWER
Algeria,28.0,3.0,201508,35.28,NASA POWER
Algeria,28.0,3.0,201509,31.17,NASA POWER
Algeria,28.0,3.0,201510,26.51,NASA POWER
Algeria,28.0,3.0,201511,17.94,NASA POWER
Algeria,28.0,3.0,201512,12.7,NASA POWER
Algeria,28.0,3.0,201513,23.89,NASA POWER
Algeria,28.0,3.0,201601,13.57,NASA POWER
Algeria,28.0,3.0,201602,15.5,NASA POWER
Algeria,28.0,3.0,201603,17.19,NASA POWER
Algeria,28.0,3.0,201604,26.66,NASA POWER
Algeria,28.0,3.0,201605,28.85,NASA POWER
Algeria,28.0,3.0,201606,34.05,NASA POWER
Algeria,28.0,3.0,201607,35.11,NASA POWER
Algeria,28.0,3.0,201608,33.94,NASA POWER
Algeria,28.0,3.0,201609,32.02,NASA POWER
Algeria,28.0,3.0,201610,26.64,NASA POWER
Algeria,28.0,3.0,201611,17.8,NASA POWER
Algeria,28.0,3.0,201612,12.31,NASA POWER
Algeria,28.0,3.0,201613,24.48,NASA POWER
Algeria,28.0,3.0,201701,8.86,NASA POWER
Algeria,28.0,3.0,201702,16.04,NASA POWER
Algeria,28.0,3.0,201703,18.82,NASA POWER
Algeria,28.0,3.0,201704,23.73,NASA POWER
Algeria,28.0,3.0,201705,31.17,NASA POWER
Algeria,28.0,3.0,201706,32.94,NASA POWER
Algeria,28.0,3.0,201707,34.95,NASA POWER
Algeria,28.0,3.0,201708,34.96,NASA POWER
Algeria,28.0,3.0,201709,31.33,NASA POWER
Algeria,28.0,3.0,201710,22.77,NASA POWER
